"id","trade_px","trade_volume","b1","b2","b3","b4","b5","a1","a2","a3","a4","a5","bq1","bq2","bq3","bq4","bq5","aq1","aq2","aq3","aq4","aq5","order_date_time","trades_date_time","update_type"
417,6109.34,0.16319421,6109.33,6108.59,6106.39,6106.38,6105.5,6109.34,6110.0,6110.56,6111.0,6111.29,33.72964761,0.016,0.002,2.1,0.06577763,7.39314237,0.1,1.0,0.004,1.63713,"20180628 09:20:23.195102","20180628 09:20:18.666010",1
3,0.0,0.0,6109.33,6108.59,6106.38,6105.5,6105.0,6109.34,6110.0,6110.56,6111.0,6111.29,33.72764761,0.016,2.1,0.06577763,1.0,7.39314237,0.1,1.0,0.004,1.63713,"20180628 09:20:23.366653","20000101 00:00:00.000000",1
15,6109.34,0.16319421,6109.33,6108.73,6108.59,6106.38,6105.5,6109.34,6110.0,6110.56,6111.0,6111.29,33.72964761,0.001,0.016,2.1,0.06577763,7.39314237,0.1,1.0,0.004,1.63713,"20180628 09:20:23.745315","20180628 09:20:18.738582",1
852,6109.34,0.16319421,6109.33,6108.59,6107.73,6107.56,6106.38,6109.34,6110.0,6110.56,6111.0,6111.29,33.71278001,0.016,0.001,0.002,2.1,7.39314237,0.1,1.0,0.004,1.63713,"20180628 09:20:23.907627","20180628 09:20:18.663547",1
113,6109.34,0.16319421,6109.33,6108.59,6107.73,6107.56,6106.73,6109.34,6110.0,6110.56,6111.0,6111.29,33.71278001,0.016,0.001,0.002,0.001,7.39314237,0.1,1.0,0.004,1.63713,"20180628 09:20:23.958487","20180628 09:20:18.923154",1
434,6109.34,0.16319421,6109.33,6108.41,6107.73,6107.56,6106.38,6109.34,6110.0,6110.56,6111.0,6111.29,33.71278001,0.016,0.001,0.002,2.1,7.39314237,0.1,1.0,0.004,1.63713,"20180628 09:20:24.229950","20180628 09:20:18.636880",1
4,0.0,0.0,6109.33,6108.29,6106.39,6106.38,6105.5,6109.34,6110.0,6110.56,6111.0,6111.29,30.38644761,0.016,0.002,2.1,0.06577763,7.39314237,0.1,1.0,0.004,1.63713,"20180628 09:20:25.211985","20000101 00:00:00.000000",1
418,6109.34,0.16319421,6109.33,6108.73,6108.29,6107.56,6106.38,6109.34,6110.0,6110.56,6111.0,6111.29,30.38444761,0.001,0.016,0.002,2.1,7.39314237,0.1,1.0,0.004,1.63713,"20180628 09:20:25.610240","20180628 09:20:18.666010",1
853,6109.34,0.16319421,6109.33,6108.73,6108.29,6107.73,6107.56,6109.34,6110.0,6110.56,6111.0,6111.29,30.38644761,0.001,0.016,0.001,0.002,7.39314237,0.1,1.0,0.004,1.63713,"20180628 09:20:25.814077","20180628 09:20:18.663547",1
114,6109.34,0.16319421,6109.33,6108.73,6108.29,6107.73,6107.56,6109.34,6110.0,6110.56,6111.0,6111.29,30.38644761,0.001,0.016,0.001,0.002,7.39314237,0.1,1.0,0.004,1.63713,"20180628 09:20:25.834608","20180628 09:20:18.923154",1
435,6109.34,0.16319421,6109.33,6108.73,6107.9,6107.73,6107.56,6109.34,6110.0,6110.56,6111.0,6111.29,30.38644761,0.001,0.016,0.001,0.002,7.39314237,0.1,1.0,0.004,1.63713,"20180628 09:20:26.120233","20180628 09:20:18.636880",1
16,6109.34,0.16319421,6109.33,6108.73,6107.9,6107.73,6107.56,6109.34,6110.0,6110.56,6111.0,6111.29,30.38644761,0.001,0.016,0.001,0.002,7.39314237,0.1,1.0,0.004,1.63713,"20180628 09:20:26.164490","20180628 09:20:18.738582",1
5,0.0,0.0,6109.33,6108.73,6107.76,6107.56,6106.38,6109.34,6110.0,6110.56,6111.0,6111.29,30.38644761,0.001,0.016,0.002,2.1,4.89314237,0.1,1.0,0.004,1.63713,"20180628 09:20:27.104848","20000101 00:00:00.000000",1
419,6109.34,0.16319421,6109.33,6108.73,6107.76,6107.56,6106.38,6109.34,6110.0,6110.56,6111.0,6111.29,30.38444761,0.001,0.016,0.002,2.1,7.39314237,0.1,1.0,0.004,1.63713,"20180628 09:20:27.490729","20180628 09:20:18.666010",1
