"id","trade_px","trade_volume","b1","b2","b3","b4","b5","a1","a2","a3","a4","a5","bq1","bq2","bq3","bq4","bq5","aq1","aq2","aq3","aq4","aq5","order_date_time","trades_date_time","update_type"
362,6107.21,0.01381137,6106.64,6104.23,6103.36,6103.35,6102.51,6107.64,6107.65,6112.99,6113.21,6113.99,3.39690696,1.5,0.006345,0.01,1.6345,0.09002609,5.0,1.50613342,0.676174,0.00850428,"20180628 09:20:23.180404","20180628 09:20:15.000000",1
376,6107.21,0.01381137,6106.64,6104.23,6103.36,6103.35,6102.51,6107.64,6107.65,6112.99,6113.21,6113.99,3.39690696,1.5,0.006345,0.01,1.6345,0.09002609,5.0,1.50613342,0.676174,0.00850428,"20180628 09:20:23.182632","20180628 09:20:15.000000",1
4,0.0,0.0,6106.64,6104.23,6103.36,6103.35,6102.51,6107.64,6107.65,6112.99,6113.21,6113.99,3.39690696,1.5,0.006345,0.01,1.6345,0.09002609,5.0,1.50613342,0.676174,0.00850428,"20180628 09:20:23.184549","20000101 00:00:00.000000",1
52,6107.21,0.01381137,6106.64,6104.23,6103.36,6103.35,6102.51,6107.64,6107.65,6112.99,6113.21,6113.99,3.39690696,1.5,0.006345,0.01,1.6345,0.09002609,5.0,1.50613342,0.676174,0.00850428,"20180628 09:20:23.186653","20180628 09:20:15.000000",1
22,6107.21,0.01381137,6106.64,6104.23,6103.36,6103.35,6102.51,6107.64,6107.65,6112.99,6113.21,6113.99,3.39690696,1.5,0.006345,0.01,1.6345,0.09002609,5.0,1.50613342,0.676174,0.00850428,"20180628 09:20:23.187581","20180628 09:20:15.000000",1
715,6107.21,0.01381137,6106.64,6104.23,6103.36,6103.35,6102.51,6107.64,6107.65,6112.99,6113.21,6113.99,3.39690696,1.5,0.006345,0.01,1.6345,0.09002609,5.0,1.50613342,0.676174,0.00850428,"20180628 09:20:23.187965","20180628 09:20:15.000000",1
363,6107.21,0.01381137,6106.64,6104.23,6103.36,6103.35,6102.44,6107.64,6107.65,6112.99,6113.21,6113.99,3.39690696,1.5,0.006345,0.01,5.7,0.09002609,5.0,1.50613342,0.676174,0.00850428,"20180628 09:20:24.218911","20180628 09:20:15.000000",1
377,6107.21,0.01381137,6106.64,6104.23,6103.36,6103.35,6102.44,6107.64,6107.65,6112.99,6113.21,6113.99,3.39690696,1.5,0.006345,0.01,5.7,0.09002609,5.0,1.50613342,0.676174,0.00850428,"20180628 09:20:24.221171","20180628 09:20:15.000000",1
53,6107.21,0.01381137,6106.64,6104.23,6103.36,6103.35,6102.44,6107.64,6107.65,6112.99,6113.21,6113.99,3.39690696,1.5,0.006345,0.01,5.7,0.09002609,5.0,1.50613342,0.676174,0.00850428,"20180628 09:20:24.222634","20180628 09:20:15.000000",1
5,0.0,0.0,6106.64,6104.23,6103.36,6103.35,6102.44,6107.64,6107.65,6112.99,6113.21,6113.99,3.39690696,1.5,0.006345,0.01,5.7,0.09002609,5.0,1.50613342,0.676174,0.00850428,"20180628 09:20:24.224777","20000101 00:00:00.000000",1
