"id","trade_px","trade_volume","b1","b2","b3","b4","b5","a1","a2","a3","a4","a5","bq1","bq2","bq3","bq4","bq5","aq1","aq2","aq3","aq4","aq5","order_date_time","trades_date_time","update_type"
17,6111.0,4.091e-05,6111.0,6110.8,6110.6,6109.2,6108.6,6111.1,6111.9,6112.0,6112.1,6112.8,0.569,1.0,0.06,0.1,0.01,1.0,0.154,1.961,1.0,3.273,"20000101 00:00:00.000000","20180628 09:20:31.940200",1
1491,6111.0,4.091e-05,6111.0,6110.8,6110.6,6109.2,6108.6,6111.1,6111.9,6112.0,6112.1,6112.8,0.569,1.0,0.06,0.1,0.01,1.0,0.154,1.961,1.0,3.273,"20000101 00:00:00.000000","20180628 09:20:31.940200",1
64,6111.0,4.091e-05,6111.0,6110.8,6110.6,6109.2,6108.6,6111.1,6111.9,6112.0,6112.1,6112.8,0.569,1.0,0.06,0.1,0.01,1.0,0.154,1.961,1.0,3.273,"20000101 00:00:00.000000","20180628 09:20:31.940200",1
959,6111.0,4.091e-05,6111.0,6110.8,6110.6,6109.2,6108.6,6111.1,6112.0,6112.1,6113.1,6114.2,0.569,1.0,0.06,0.1,0.01,2.0,5.235,1.0,1.1,0.063,"20000101 00:00:00.000000","20180628 09:20:31.940200",1
65,6111.0,4.091e-05,6111.0,6110.8,6110.6,6109.2,6108.6,6111.1,6112.0,6112.1,6113.1,6114.2,0.569,1.0,0.06,0.1,0.01,2.0,5.235,1.0,1.1,0.063,"20000101 00:00:00.000000","20180628 09:20:31.940200",1
500,6111.0,4.091e-05,6111.0,6110.8,6110.6,6109.2,6108.6,6111.1,6112.0,6112.1,6113.1,6114.2,0.569,1.0,0.06,0.1,0.01,2.0,5.235,1.0,1.1,0.063,"20000101 00:00:00.000000","20180628 09:20:31.940200",1
35,6111.0,4.091e-05,6111.0,6110.8,6110.6,6109.2,6108.6,6111.1,6112.0,6112.1,6113.1,6114.2,0.569,1.0,0.06,0.1,0.01,2.0,5.235,1.0,1.1,0.063,"20000101 00:00:00.000000","20180628 09:20:31.940200",1
25,0.0,0.0,6111.0,6110.8,6110.6,6109.2,6108.6,6111.1,6112.0,6112.1,6113.1,6114.2,0.569,1.0,0.06,0.1,0.01,2.0,5.235,1.0,1.1,0.063,"20000101 00:00:00.000000","20000101 00:00:00.000000",1
1508,6111.0,4.091e-05,6111.0,6110.8,6110.6,6109.2,6108.6,6111.1,6112.0,6112.1,6113.1,6114.2,0.569,1.0,0.06,0.1,0.01,2.0,5.235,1.0,1.1,0.063,"20000101 00:00:00.000000","20180628 09:20:31.940200",1
1510,6111.0,4.091e-05,6110.8,6110.6,6109.2,6108.6,6107.8,6111.0,6111.1,6111.9,6112.0,6112.1,1.0,0.06,0.1,0.01,0.37,3.562,2.0,0.154,1.961,1.0,"20000101 00:00:00.000000","20180628 09:20:31.940200",1
67,6111.0,4.091e-05,6110.8,6110.6,6109.2,6108.6,6107.8,6111.0,6111.1,6111.9,6112.0,6112.1,1.0,0.06,0.1,0.01,0.37,3.562,2.0,0.154,1.961,1.0,"20000101 00:00:00.000000","20180628 09:20:31.940200",1
502,6111.0,4.091e-05,6110.8,6110.6,6109.2,6108.6,6107.8,6111.0,6111.1,6111.9,6112.0,6112.1,1.0,0.06,0.1,0.01,0.37,3.562,2.0,0.154,1.961,1.0,"20000101 00:00:00.000000","20180628 09:20:31.940200",1
962,6111.0,4.091e-05,6110.8,6110.6,6109.2,6108.6,6107.8,6111.0,6111.1,6111.9,6112.0,6112.1,1.0,0.06,0.1,0.01,0.37,3.562,2.0,0.154,1.961,1.0,"20000101 00:00:00.000000","20180628 09:20:31.940200",1
28,0.0,0.0,6110.8,6110.6,6109.2,6108.6,6107.8,6111.0,6111.1,6111.9,6112.0,6112.1,1.0,0.06,0.1,0.01,0.37,3.562,2.0,0.154,1.961,1.0,"20000101 00:00:00.000000","20000101 00:00:00.000000",1
38,6111.0,4.091e-05,6110.8,6110.6,6109.2,6108.6,6107.8,6111.0,6111.1,6111.9,6112.0,6112.1,1.0,0.06,0.1,0.01,0.37,3.562,2.0,0.154,1.961,1.0,"20000101 00:00:00.000000","20180628 09:20:31.940200",1
1512,6111.0,0.13714685,6110.8,6110.6,6109.2,6108.6,6107.8,6111.0,6111.1,6111.9,6112.0,6112.1,1.0,0.06,0.1,0.01,0.37,3.562,2.0,0.154,1.961,1.0,"20000101 00:00:00.000000","20180628 09:21:02.750600",2
1513,6111.0,0.0663,6110.8,6110.6,6109.2,6108.6,6107.8,6111.0,6111.1,6111.9,6112.0,6112.1,1.0,0.06,0.1,0.01,0.37,3.562,2.0,0.154,1.961,1.0,"20000101 00:00:00.000000","20180628 09:21:02.891300",2
1514,6111.0,0.0142,6110.8,6110.6,6109.2,6108.6,6107.8,6111.0,6111.1,6111.9,6112.0,6112.1,1.0,0.06,0.1,0.01,0.37,3.562,2.0,0.154,1.961,1.0,"20000101 00:00:00.000000","20180628 09:21:02.906100",2
1515,6111.0,0.0334,6110.8,6110.6,6109.2,6108.6,6107.8,6111.0,6111.1,6111.9,6112.0,6112.1,1.0,0.06,0.1,0.01,0.37,3.562,2.0,0.154,1.961,1.0,"20000101 00:00:00.000000","20180628 09:21:02.909800",2
1516,6111.0,0.06141164,6110.8,6110.6,6109.2,6108.6,6107.8,6111.0,6111.1,6111.9,6112.0,6112.1,1.0,0.06,0.1,0.01,0.37,3.562,2.0,0.154,1.961,1.0,"20000101 00:00:00.000000","20180628 09:21:02.913400",2
1517,6111.0,0.045381,6110.8,6110.6,6109.2,6108.6,6107.8,6111.0,6111.1,6111.9,6112.0,6112.1,1.0,0.06,0.1,0.01,0.37,3.562,2.0,0.154,1.961,1.0,"20000101 00:00:00.000000","20180628 09:21:02.916800",2
1518,6111.0,0.0519,6110.8,6110.6,6109.2,6108.6,6107.8,6111.0,6111.1,6111.9,6112.0,6112.1,1.0,0.06,0.1,0.01,0.37,3.562,2.0,0.154,1.961,1.0,"20000101 00:00:00.000000","20180628 09:21:02.921300",2
1519,6111.0,0.05897871,6110.8,6110.6,6109.2,6108.6,6107.8,6111.0,6111.1,6111.9,6112.0,6112.1,1.0,0.06,0.1,0.01,0.37,3.562,2.0,0.154,1.961,1.0,"20000101 00:00:00.000000","20180628 09:21:02.927500",2
1520,6111.0,0.1,6110.8,6110.6,6109.2,6108.6,6107.8,6111.0,6111.1,6111.9,6112.0,6112.1,1.0,0.06,0.1,0.01,0.37,3.562,2.0,0.154,1.961,1.0,"20000101 00:00:00.000000","20180628 09:21:02.931300",2
39,6111.0,0.13714685,6110.8,6110.6,6109.2,6108.6,6107.8,6111.0,6111.1,6111.9,6112.0,6112.1,1.0,0.06,0.1,0.01,0.37,3.562,2.0,0.154,1.961,1.0,"20000101 00:00:00.000000","20180628 09:21:02.750600",2
40,6111.0,0.0663,6110.8,6110.6,6109.2,6108.6,6107.8,6111.0,6111.1,6111.9,6112.0,6112.1,1.0,0.06,0.1,0.01,0.37,3.562,2.0,0.154,1.961,1.0,"20000101 00:00:00.000000","20180628 09:21:02.891300",2
41,6111.0,0.0142,6110.8,6110.6,6109.2,6108.6,6107.8,6111.0,6111.1,6111.9,6112.0,6112.1,1.0,0.06,0.1,0.01,0.37,3.562,2.0,0.154,1.961,1.0,"20000101 00:00:00.000000","20180628 09:21:02.906100",2
42,6111.0,0.0334,6110.8,6110.6,6109.2,6108.6,6107.8,6111.0,6111.1,6111.9,6112.0,6112.1,1.0,0.06,0.1,0.01,0.37,3.562,2.0,0.154,1.961,1.0,"20000101 00:00:00.000000","20180628 09:21:02.909800",2
43,6111.0,0.06141164,6110.8,6110.6,6109.2,6108.6,6107.8,6111.0,6111.1,6111.9,6112.0,6112.1,1.0,0.06,0.1,0.01,0.37,3.562,2.0,0.154,1.961,1.0,"20000101 00:00:00.000000","20180628 09:21:02.913400",2
44,6111.0,0.045381,6110.8,6110.6,6109.2,6108.6,6107.8,6111.0,6111.1,6111.9,6112.0,6112.1,1.0,0.06,0.1,0.01,0.37,3.562,2.0,0.154,1.961,1.0,"20000101 00:00:00.000000","20180628 09:21:02.916800",2
45,6111.0,0.0519,6110.8,6110.6,6109.2,6108.6,6107.8,6111.0,6111.1,6111.9,6112.0,6112.1,1.0,0.06,0.1,0.01,0.37,3.562,2.0,0.154,1.961,1.0,"20000101 00:00:00.000000","20180628 09:21:02.921300",2
46,6111.0,0.05897871,6110.8,6110.6,6109.2,6108.6,6107.8,6111.0,6111.1,6111.9,6112.0,6112.1,1.0,0.06,0.1,0.01,0.37,3.562,2.0,0.154,1.961,1.0,"20000101 00:00:00.000000","20180628 09:21:02.927500",2
47,6111.0,0.1,6110.8,6110.6,6109.2,6108.6,6107.8,6111.0,6111.1,6111.9,6112.0,6112.1,1.0,0.06,0.1,0.01,0.37,3.562,2.0,0.154,1.961,1.0,"20000101 00:00:00.000000","20180628 09:21:02.931300",2
963,6111.0,0.13714685,6110.8,6110.6,6109.2,6108.6,6107.8,6111.0,6111.1,6111.9,6112.0,6112.1,1.0,0.06,0.1,0.01,0.37,3.562,2.0,0.154,1.961,1.0,"20000101 00:00:00.000000","20180628 09:21:02.750600",2
964,6111.0,0.0663,6110.8,6110.6,6109.2,6108.6,6107.8,6111.0,6111.1,6111.9,6112.0,6112.1,1.0,0.06,0.1,0.01,0.37,3.562,2.0,0.154,1.961,1.0,"20000101 00:00:00.000000","20180628 09:21:02.891300",2
965,6111.0,0.0142,6110.8,6110.6,6109.2,6108.6,6107.8,6111.0,6111.1,6111.9,6112.0,6112.1,1.0,0.06,0.1,0.01,0.37,3.562,2.0,0.154,1.961,1.0,"20000101 00:00:00.000000","20180628 09:21:02.906100",2
966,6111.0,0.0334,6110.8,6110.6,6109.2,6108.6,6107.8,6111.0,6111.1,6111.9,6112.0,6112.1,1.0,0.06,0.1,0.01,0.37,3.562,2.0,0.154,1.961,1.0,"20000101 00:00:00.000000","20180628 09:21:02.909800",2
